fecha,precio
02/01/24,955
24/01/24,1205
01/02/24,1165
01/03/24,1020
11/03/24,975
15/03/24,1000
20/03/24,1000
25/03/24,990
03/04/24,975
10/04/24,970
22/04/24,1005
25/04/24,1025
30/04/24,1010
02/05/24,1010
08/05/24,1010
10/05/24,1010
15/05/24,1070
20/05/24,1150
24/05/24,1260
25/05/24,1200
26/05/24,1200
27/05/24,1200
28/05/24,1185
29/05/24,1210
30/05/24,1210
31/05/24,1210
01/06/24,1205
02/06/24,1205
03/06/24,1205
04/06/24,1215
05/06/24,1245
06/06/24,1230
07/06/24,1245
08/06/24,1245
09/06/24,1245
10/06/24,1245
11/06/24,1260
12/06/24,1225
13/06/24,1225
14/06/24,1225
15/06/24,1260
16/06/24,1260
17/06/24,1260
18/06/24,1260
19/06/24,1285
20/06/24,1280
21/06/24,1280
22/06/24,1280
23/06/24,1280
24/06/24,1310
26/06/24,1345
27/06/24,1345
28/06/24,1335
29/06/24,1345
30/06/24,1345
01/07/24,1345
02/07/24,1385
03/07/24,1410
04/07/24,1385
05/07/24,1385
06/07/24,1400
07/07/24,1400
08/07/24,1420
09/07/24,1420
10/07/24,1420
11/07/24,1430
12/07/24,1445
13/07/24,1480
14/07/24,1480
15/07/24,1480
16/07/24,1395
17/07/24,1435
18/07/24,1435
19/07/24,1435
20/07/24,1425
21/07/24,1425
22/07/24,1425
23/07/24,1425
24/07/24,1435
25/07/24,1420
26/07/24,1425
27/07/24,1415
28/07/24,1415
29/07/24,1415
30/07/24,1395
31/07/24,1365
01/08/24,1350
02/08/24,1360
03/08/24,1375
04/08/24,1375
05/08/24,1375
06/08/24,1370
08/08/24,1365
09/08/24,1355
10/08/24,1335
11/08/24,1335
12/08/24,1330
13/08/24,1335
14/08/24,1335
15/08/24,1335
16/08/24,1330
17/08/24,1325
18/08/24,1325
19/08/24,1325
20/08/24,1330
21/08/24,1340
22/08/24,1335
23/08/24,1330
24/08/24,1330
25/08/24,1330
26/08/24,1330
27/08/24,1330
28/08/24,1320
29/08/24,1315
30/08/24,1295
31/08/24,1285
01/09/24,1285
02/09/24,1285
03/09/24,1285
04/09/24,1290
05/09/24,1285
06/09/24,1245
07/09/24,1240
08/09/24,1240
09/09/24,1240
10/09/24,1250
11/09/24,1260
12/09/24,1265
13/09/24,1260
14/09/24,1245
15/09/24,1245
17/09/24,1255
18/09/24,1240
19/09/24,1240
20/09/24,1220
21/09/24,1225
22/09/24,1225
23/09/24,1225
24/09/24,1225
25/09/24,1225
27/09/24,1210
28/09/24,1225
29/09/24,1225
30/09/24,1210
01/10/24,1200
02/10/24,1200
03/10/24,1195
04/10/24,1185
05/10/24,1175
06/10/24,1175
07/10/24,1175
08/10/24,1165
09/10/24,1155
10/10/24,1155
11/10/24,1160
12/10/24,1160
13/10/24,1160
14/10/24,1160
15/10/24,1170
16/10/24,1215
17/10/24,1200
18/10/24,1200
19/10/24,1205
20/10/24,1205
21/10/24,1205
22/10/24,1220
23/10/24,1225
24/10/24,1210
25/10/24,1195
25/10/24,1195
27/10/24,1205
28/10/24,1205
29/10/24,1200
31/10/24,1160
01/11/24,1170
02/11/24,1170
03/11/24,1170
04/11/24,1170
05/11/24,1115
06/11/24,1115
07/11/24,1115
08/11/24,1100
09/11/24,1115
10/11/24,1115
11/11/24,1115
13/11/24,1115
16/11/24,1120
17/11/24,1120
18/11/24,1120
19/11/24,1115
20/11/24,1115
21/11/24,1115
22/11/24,1110
23/11/24,1115
24/11/24,1115
25/11/24,1110
26/11/24,1110
27/11/24,1115
28/11/24,1105
29/11/24,1100
30/11/24,1100
01/12/24,1100
02/12/24,1100
03/12/24,1080
04/12/24,1070
05/12/24,1060
06/12/24,1035
07/12/24,1030
08/12/24,1030
09/12/24,1030
10/12/24,1045
11/12/24,1050
12/12/24,1060
13/12/24,1075
14/12/24,1085
15/12/24,1085
16/12/24,1085
17/12/24,1105
18/12/24,1145
19/12/24,1185
20/12/24,1155
21/12/24,1140
22/12/24,1140
23/12/24,1140
24/12/24,1180
26/12/24,1180
27/12/24,1190
28/12/24,1195
29/12/24,1195
30/12/24,1195
31/12/24,1210
01/01/25,1210
02/01/25,1210
03/01/25,1195
04/01/25,1185
