fecha,uva
02/01/24,463
24/01/24,525
01/02/24,561
01/03/24,680
11/03/24,716
15/03/24,744
20/03/24,761
25/03/24,770
03/04/24,786
10/04/24,828
22/04/24,860
25/04/24,875
30/04/24,890
02/05/24,894
08/05/24,916
10/05/24,922
15/05/24,938
20/05/24,947
24/05/24,962
25/05/24,965
26/05/24,965
27/05/24,965
28/05/24,973
29/05/24,975
30/05/24,978
31/05/24,981
01/06/24,983
02/06/24,983
03/06/24,983
04/06/24,991
05/06/24,994
06/06/24,997
07/06/24,999
08/06/24,1002
09/06/24,1002
10/06/24,1002
11/06/24,1010
12/06/24,1013
13/06/24,1016
14/06/24,1019
15/06/24,1021
16/06/24,1021
17/06/24,1021
18/06/24,1021
19/06/24,1028
20/06/24,1030
21/06/24,1030
22/06/24,1030
23/06/24,1029.95
24/06/24,1029.95
26/06/24,1038.46
27/06/24,1039.88
28/06/24,1041.31
29/06/24,1042.74
30/06/24,1042.74
01/07/24,1042.74
02/07/24,1047.04
03/07/24,1048.47
04/07/24,1049.91
05/07/24,1051.35
06/07/24,1052.8
07/07/24,1052.8
08/07/24,1052.8
09/07/24,1057.14
10/07/24,1057.14
11/07/24,1060.04
12/07/24,1061.5
13/07/24,1062.95
14/07/24,1062.95
15/07/24,1062.95
16/07/24,1067.33
17/07/24,1068.88
18/07/24,1070.44
19/07/24,1071.99
20/07/24,1073.55
21/07/24,1073.55
22/07/24,1073.55
23/07/24,1078.23
24/07/24,1079.79
25/07/24,1081.36
26/07/24,1082.93
27/07/24,1084.5
28/07/24,1084.5
29/07/24,1084.5
30/07/24,1089.23
31/07/24,1090.82
01/08/24,1092.4
02/08/24,1093.98
03/08/24,1095.57
04/08/24,1095.57
05/08/24,1095.57
06/08/24,1100.35
08/08/24,1103.55
09/08/24,1105.15
10/08/24,1106.76
11/08/24,1106.76
12/08/24,1106.76
13/08/24,1111.58
14/08/24,1113.2
15/08/24,1114.81
16/08/24,1116.43
17/08/24,1117.84
18/08/24,1117.84
19/08/24,1117.84
20/08/24,1122.1
21/08/24,1123.52
22/08/24,1124.94
23/08/24,1126.36
24/08/24,1127.79
25/08/24,1127.79
26/08/24,1127.79
27/08/24,1132.08
28/08/24,1133.51
29/08/24,1134.95
30/08/24,1136.38
31/08/24,1137.82
01/09/24,1137.82
02/09/24,1137.82
03/09/24,1142.15
04/09/24,1143.59
05/09/24,1145.04
06/09/24,1146.49
07/09/24,1147.94
08/09/24,1147.94
09/09/24,1147.94
10/09/24,1152.31
11/09/24,1153.77
12/09/24,1155.23
13/09/24,1156.69
14/09/24,1158.15
15/09/24,1158.15
17/09/24,1162.68
18/09/24,1164.28
19/09/24,1165.88
20/09/24,1167.48
21/09/24,1169.08
22/09/24,1169.08
23/09/24,1169.08
24/09/24,1173.90
25/09/24,1175.51
27/09/24,1178.74
28/09/24,1180.35
29/09/24,1180.35
30/09/24,1180.35
01/10/24,1185.22
02/10/24,1186.85
03/10/24,1188.48
04/10/24,1190.11
05/10/24,1191.74
06/10/24,1191.74
07/10/24,1191.74
08/10/24,1196.65
09/10/24,1198.3
10/10/24,1199.94
11/10/24,1201.59
12/10/24,1201.59
13/10/24,1201.59
14/10/24,1201.59
15/10/24,1208.2
16/10/24,1209.85
17/10/24,1211.2
18/10/24,1212.54
19/10/24,1213.89
20/10/24,1213.89
21/10/24,1213.89
22/10/24,1217.94
23/10/24,1219.29
24/10/24,1220.64
25/10/24,1222.0
25/10/24,1222.0
27/10/24,1223.36
28/10/24,1223.36
29/10/24,1227.43
31/10/24,1230.16
01/11/24,1231.53
02/11/24,1232.9
03/11/24,1232.9
04/11/24,1232.9
05/11/24,1237.01
06/11/24,1238.38
07/11/24,1238.38
08/11/24,1241.13
09/11/24,1242.51
10/11/24,1242.51
11/11/24,1242.51
13/11/24,1248.04
16/11/24,1252.2
17/11/24,1252.2
18/11/24,1252.2
19/11/24,1252.2
20/11/24,1256.66
21/11/24,1257.77
22/11/24,1258.89
23/11/24,1260.01
24/11/24,1260.01
25/11/24,1260.01
26/11/24,1263.37
27/11/24,1264.49
28/11/24,1265.61
29/11/24,1266.74
30/11/24,1267.86
01/12/24,1267.86
02/12/24,1267.86
03/12/24,1041.73
04/12/24,1042.35
05/12/24,1042.18
06/12/24,1043.32
07/12/24,1044.61
08/12/24,1044.61
09/12/24,1044.61
10/12/24,1045.92
11/12/24,1047.55
12/12/24,1047.12
13/12/24,1048.68
14/12/24,1048.71
15/12/24,1048.71
16/12/24,1048.71
17/12/24,1049.93
18/12/24,1049.58
19/12/24,1050.56
20/12/24,1051.66
21/12/24,1054.27
22/12/24,1054.27
23/12/24,1054.27
24/12/24,1055.07
26/12/24,1055.07
27/12/24,1055.82
28/12/24,1057.97
29/12/24,1057.97
30/12/24,1057.97
31/12/24,1060.28
01/01/25,1060.28
02/01/25,1060.28
03/01/25,1.06
04/01/25,1062.8
